dataset,trial,error_type,intensity,features,model,accuracy,f1_macro,f1_weighted
winequality-red.csv,0,NNAR,0.1,target,RF,0.66875,0.32084668192219684,0.6570537757437072
winequality-red.csv,0,NNAR,0.1,alcohol,RF,0.66875,0.28658970658970656,0.6670117845117846
winequality-red.csv,0,NNAR,0.1,target,LinearSVM,0.58125,0.21977800782148613,0.5326363008971704
winequality-red.csv,0,NNAR,0.1,alcohol,LinearSVM,0.58125,0.220448810581253,0.5341559612350687
winequality-red.csv,0,NNAR,0.1,target,KNN,0.434375,0.19954186181506986,0.42766259947123986
winequality-red.csv,0,NNAR,0.1,alcohol,KNN,0.425,0.16951771344750383,0.42527368346480976
winequality-red.csv,0,NNAR,0.2,target,RF,0.6875,0.3311492888957678,0.6749187432286023
winequality-red.csv,0,NNAR,0.2,alcohol,RF,0.571875,0.2424985498075199,0.6005998523440385
winequality-red.csv,0,NNAR,0.2,target,LinearSVM,0.5875,0.2227145531818531,0.5391538074268175
winequality-red.csv,0,NNAR,0.2,alcohol,LinearSVM,0.6,0.22717141345194813,0.5497839987124056
winequality-red.csv,0,NNAR,0.2,target,KNN,0.48125,0.22948415738503547,0.4830507101184513
winequality-red.csv,0,NNAR,0.2,alcohol,KNN,0.425,0.18106360792492177,0.44733090024330896
winequality-red.csv,0,NNAR,0.3,target,RF,0.56875,0.2677670544345849,0.5634875125189973
winequality-red.csv,0,NNAR,0.3,alcohol,RF,0.334375,0.14888924579877713,0.40381046483352334
winequality-red.csv,0,NNAR,0.3,target,LinearSVM,0.54375,0.21407346138528935,0.49917516772355486
winequality-red.csv,0,NNAR,0.3,alcohol,LinearSVM,0.325,0.13055656482246078,0.38175838150289015
winequality-red.csv,0,NNAR,0.3,target,KNN,0.446875,0.2527803607579993,0.42500142193800217
winequality-red.csv,0,NNAR,0.3,alcohol,KNN,0.315625,0.18936389808625922,0.3498664549990142
winequality-red.csv,0,NNAR,0.5,target,RF,0.46875,0.2368598546828736,0.4952356168186068
winequality-red.csv,0,NNAR,0.5,alcohol,RF,0.1,0.07300335718703066,0.17253440012368584
winequality-red.csv,0,NNAR,0.5,target,LinearSVM,0.578125,0.21280539710573843,0.5279684479343183
winequality-red.csv,0,NNAR,0.5,alcohol,LinearSVM,0.003125,0.002070393374741201,0.006159420289855073
winequality-red.csv,0,NNAR,0.5,target,KNN,0.3375,0.17805626151834017,0.36235199861779915
winequality-red.csv,0,NNAR,0.5,alcohol,KNN,0.10625,0.07198594088837992,0.1646506694524987
winequality-red.csv,0,NCAR,0.1,target,RF,0.671875,0.31592833036204826,0.6518685458643075
winequality-red.csv,0,NCAR,0.1,alcohol,RF,0.61875,0.2556399587739054,0.6146090201168073
winequality-red.csv,0,NCAR,0.1,target,LinearSVM,0.584375,0.21387045144282824,0.530814856658664
winequality-red.csv,0,NCAR,0.1,alcohol,LinearSVM,0.584375,0.21364624281084985,0.5304380575759715
winequality-red.csv,0,NCAR,0.1,target,KNN,0.459375,0.21056136896824174,0.44184353575242474
winequality-red.csv,0,NCAR,0.1,alcohol,KNN,0.425,0.1638195875237143,0.41778880479794367
winequality-red.csv,0,NCAR,0.2,target,RF,0.628125,0.3038592807030033,0.6211945044254088
